"","UTSW15_G","UTSW24_G","UTSW31_G","UTSW32_G","UTSW37_G","UTSW39_G","UTSW45_G","UTSW46_G","UTSW47_G","UTSW48_G","UTSW49_G","UTSW50_G","UTSW52_G","UTSW54_G","UTSW60_G","UTSW62_G","UTSW65_G","UTSW70_G","UTSW79_G","XP615_G","XP659_G","XP681_G","XP685_G"
"RP11-108M9.5",0.061872727200152,0.00274751625773694,0.117209833307663,0.0519276724416238,0.101286684166808,0.000815225886961576,0.0320033808610737,0.0145529724456788,0.000741696339818945,0.0914868940274328,0.00135668119152608,0.00698443642383318,0.0608419817988284,0.0532359873370631,0.0503785598267505,0.0352975113938461,0.0520190140038381,0.115384725515315,0.0602275879725804,0.000586923020962937,0.000765319604401591,0.0025350489155571,0.0254902895953257
"MFAP2",0.00167223587027438,0.0109900650309478,0.149546928992379,0.0033624652994792,0.000381379185807696,0.0619571674090798,0.00199896195259673,0.000727648622283939,0.000741696339818945,0.0066535922929042,1.52287463748803,0.011973319583714,0.88712787503696,0.00294732109824571,0.224904284940851,0.509607820748653,0.00472900127307619,0.00599401171508131,0.268583314613816,0.00156512805590116,0.163969725243041,0.00470794798603462,0.00505914144640053
"PADI2",3.50939600325457,0.0622770351753706,7.84053184860046,0.0930282066189246,0.0211017103507398,0.01548929185227,0.00866216846125251,0.0574842411604312,0.0229925865343873,0.0365947576109731,0.00271336238305217,2.01900101480378,0.0300091012740836,2.77969221078298,0.00539770283858041,0.0231639918522115,0.162788914412011,0.00599401171508131,0.00122500941671068,0.00704307625155524,0.0489804546817018,0.0264369386908098,0.102155740744626
"RP11-380J14.1",0.0610366092650148,0.130964941618794,0.589933502356301,0.145146418760852,0.0659785991447315,0.00163045177392315,0.0139927336681771,1.0576372724897,0.924153639414406,0.241192720617777,0.00746174655339346,0.249444157994042,0.0458962725368338,0.457718966557559,0.233900456338485,0.339738547165769,0.283461899839096,0.077922152296057,0.0330752542511883,0.221532137852391,0.00306127841760637,0.792746010879214,0.584038963514276
"RP11-380J14.4",0.0150501228324694,0.0503711313918439,0.181592699490746,0.0459536924262158,0.0118227547600386,0.000815225886961576,0.00466424455605904,0.305612421359254,0.286168698792344,0.0598823306361378,0.00135668119152608,0.0668510343424033,0.0176524125141669,0.145155564088601,0.0521777941062773,0.0871407312535576,0.0867910821882218,0.0179820351452439,0.00857506591697474,0.0610399941801454,0.00306127841760637,0.252780591865551,0.196722769319651
"PADI1",0.245258473913792,2.76812262966997,0.168483066105051,0.225285175065107,0.454222610296966,0.00896748475657734,0.0413118803536658,0.338720433673174,0.411641468599515,0.412522722160061,0.0149234931067869,3.32741544561309,0.0423657900340004,0.653568453535986,0.113351759610189,0.350769019476346,0.159951513648165,0.0119880234301626,0.00306252354177669,0.0250420488944186,0.00382659802200796,0.0206425411695364,2.35898814856944
"PADI3",0.013377886962195,0.142870845402321,0.00388433581798388,0.0112082176649307,0.0209758552194233,0.00733703298265419,0.00133264130173115,0.357275473541414,2.53029706329233,0.0881600978809807,0.0284903050220478,0.185586453547567,0.0105914475085001,0.0250522293350885,0.0125946399566876,0.0121335195416346,0.0289303607294073,0.0119880234301626,0.00122500941671068,0.00273897409782704,0.0084185156484175,0.00615654736635296,5.62152339287694
"PADI4",0.000836117935137189,0.00183167750515796,0.000971083954495969,0.00224164353298614,0.000762758371615393,0.00244567766088473,0.00133264130173115,0.000727648622283939,0.00222508901945684,0.00166339807322605,0.00271336238305217,0.000997776631976169,0.00117682750094446,0.00442098164736856,0.0017992342795268,0.00220609446211538,0.00139088272737535,0.00899101757262196,0.000612504708355339,0.000391282013975291,0.000765319604401591,0.000362149845079586,0.00155665890658478
"ACTL8",0.00418058967568594,0.0366335501031592,0.000971083954495969,0.00112082176649307,0.00457655022969236,0.0334242613654246,0.00199896195259673,0.000727648622283939,0.081586597380084,0.00166339807322605,0.350702088009493,0.00498888315988085,0.00353048250283337,0.00368415137280714,0.00719693711810722,0.0441218892423076,0.00139088272737535,0.0179820351452439,1.25930968037858,0.000391282013975291,0.00765319604401591,0.000362149845079586,0.00116749417993858
"IGSF21",0.00585282554596032,0.000915838752578979,0.00194216790899194,0.00112082176649307,0.00305103348646157,0.00407612943480788,0.000666320650865577,0.00291059448913576,0.00148339267963789,0.0033267961464521,0.00135668119152608,0.00399110652790468,0.00117682750094446,0.00221049082368428,0.0017992342795268,0.00110304723105769,0.00027817654547507,0.00599401171508131,0.000612504708355339,0.000782564027950582,0.000765319604401591,0.0025350489155571,0.00116749417993858
