"","UTSW15_N","UTSW24_N","UTSW31_N","UTSW32_N","UTSW37_N","UTSW39_N","UTSW45_N","UTSW46_N","UTSW47_N","UTSW48_N","UTSW49_N","UTSW50_N","UTSW52_N","UTSW54_N","UTSW60_N","UTSW62_N","UTSW65_N","UTSW70_N","UTSW79_N","XP615_N","XP659_N","XP681_N","XP685_N"
"C1orf233",0.0709028003062039,0.076367037585595,0.0461966691828118,0.0557940852227842,0.0941933688810164,0.0466034318346351,0.085935115034441,0.11363111145928,0.102737857952372,0.0748493925480572,0.0971876717770221,0.125568993514721,0.0616727814875438,0.0450223434284257,0.132747347364749,0.0618118273342011,0.0680953007506407,0.0733121798291509,0.0522406826971875,0.080761421694933,0.094794630062408,0.088362307777998,0.141886006952029
"MMP23B",0.0748982689180535,0.0273841397402891,0.018820865222627,0.0438855351580462,0.0192366739264048,0.0534619035529655,0.0625557087383063,0.0623825253078551,0.0442343555072714,0.0293855836320882,0.0465257726402326,0.0444429583788056,0.0593170834405606,0.0446895695856939,0.0847526374090718,0.0248230679317121,0.145357276602329,0.020573712781528,0.0479710115152058,0.0219614392328327,0.0166787879174393,0.216949693111224,0.0371118023964122
"RP11-345P4.7",0.00223248006369534,0.00745928538841115,0.0216782147609713,0.0331277381010281,0.00803518081017872,0.0129479868113894,0.0109504084084328,0.0227548687905432,0.011886199399212,0.0206339623495461,0.0244890331093962,0.0427922199247357,0.0434742558026948,0.022178397871481,0.0143404528772905,0.0102972885081749,0.0456173038778571,0.00822639828398683,0.016576370471223,0.0122842372999135,0.00619437515819833,0.0200145950147755,0.0404621164912043
"RP11-345P4.6",0.00191629190016767,0.00642563053624249,0.00799031278087893,0.019754593299192,0.00257815652852735,0.00362730044446243,0.00431571202709729,0.00747673615736271,0.00475162593029722,0.00599514846082035,0.00997868769524541,0.0251561253299715,0.0129715046964785,0.00816274661289284,0.0124707719284913,0.00866770396936411,0.0168077535602783,0.00359615534740888,0.00753471385055589,0.00495903466547834,0.00295573456764746,0.00737984960863955,0.00505622677953328
"MMP23A",0.027623347740917,0.0122110121715148,0.00569758919921346,0.014523897809556,0.00560295767005858,0.0200627774048104,0.0234868251899277,0.0267367321080659,0.0111727420523205,0.011277788281039,0.0226017841341912,0.0136432827785095,0.0308363907437719,0.0316526649233758,0.0246236980956866,0.00772647841677513,0.0440851596109677,0.0172399378671919,0.0173700269968148,0.00542660079108059,0.0049276317720637,0.0745224282465044,0.0163332938060674
"CALML6",0.00287443785025151,0.00539968952625419,0.0068439509900462,0.00523069548963602,0.00928667017136781,0.00388361931955292,0.00442313092089034,0.00954883289573782,0.00428074408134884,0.00575764558061978,0.0146911596872243,0.00846532540548678,0.0101102920471383,0.015659945540322,0.00934840474399644,0.00842888554557287,0.00916667510104779,0.0092604858731559,0.00803702810725962,0.0155855375200748,0.0092894514983206,0.0046842669183517,0.0151727810902459
"TMEM52",0.0670702165058686,0.0705816559503227,0.0256648162126732,0.0723579542732982,0.0238800090120887,0.0240784397812281,0.0524456952048426,0.0276916153976397,0.0256844644880931,0.0428224890058596,0.0305124085811581,0.0126979881082302,0.0343749929602703,0.0254474115030232,0.02617553328319,0.0758599699101559,0.0104762001154832,0.0493892579901648,0.0753471385055589,0.0283373409455905,0.0118229382705899,0.0127752734136865,0.0328060131680991
"CFAP74",0.00479072975041918,0.00385692109018157,0.00171098774751155,0.00871782581606003,0.00309555672378927,0.0147577534143011,0.00821438599593921,0.0114585994748854,0.00713457346891474,0.00287882279030989,0.00791062444696691,0.00564355027032452,0.00404411681885533,0.00782997277016099,0.0112180856927957,0.0112385140607638,0.00392857504330619,0.0123473144975412,0.00803702810725962,0.00141686704727953,0.00633371693067314,0.00255505468273729,0.0151727810902459
"GABRD",0.0143721892512576,0.00617107374429051,0.0068439509900462,0.00348713032642401,0.00176888955645101,0.00776723863910585,0.00505500676673182,0.00859394960616403,0.0028538293875659,0.00575764558061978,0.010170802860386,0.00846532540548678,0.0111213212518522,0.00978746596270124,0.00560904284639787,0.00421444277278644,0.0307738378392319,0.0030868286243853,0.0140647991877043,0.00850120228367716,0.00675596472605135,0.0208662799090212,0.00656120263361983
"RP5-892K4.1",0.0747353841065393,0.111079327397229,0.0898268567443563,0.109844605282356,0.0619111344757854,0.0648564426365338,0.0657150879675137,0.0668418302701647,0.0956032844834575,0.0868468865266736,0.0621549063690258,0.0790097037845433,0.0717830735346822,0.0763422345090697,0.0635691522591758,0.0618118273342011,0.050089331802154,0.0964633945120406,0.0906677233350225,0.0580915489384606,0.02829060229034,0.0630246821741866,0.0578205982087747
"PLCH2",0.499989301132249,0.281231258211679,0.293006651761353,0.114203518190386,0.0685444703124767,0.0295155068286022,0.0794078375468985,0.349172172498445,0.246142784677559,0.198278919682594,1.09637864567341,0.129096212433673,0.252757301178458,0.729166214221243,0.322519963667877,0.536639046401473,0.0802084071341681,0.402831135482282,0.20494421673512,0.265662571364911,0.0715710013166065,0.107312296674966,0.18579685557753
"RP3-395M20.12",0.0301815974276409,0.0165847606877807,0.0273758039601848,0.010461390979272,0.0592578001411089,0.0178646488699434,0.0151650203001955,0.0214848740154101,0.00998840285648064,0.0165532310442819,0.0124309812738052,0.0176360945947641,0.0237591863107751,0.0244686649067531,0.0271103737575897,0.0154529568335503,0.0101488188618743,0.0146624359658302,0.012809013545945,0.0155855375200748,0.0118229382705899,0.0183112252262839,0.0159929314194483
"RP3-395M20.8",0.221015526305839,0.228329728538749,0.112206576481807,0.149074821454626,0.158350993093495,0.160393477897536,0.273020915471186,0.299193581122153,0.191449144464858,0.203316859565636,0.161885278861144,0.182357218109861,0.280388729343287,0.218749864266373,0.2105260748348,0.273236373102321,0.194903155523492,0.265081408119088,0.310972710040143,0.125279384320456,0.137441657395607,0.256995916838659,0.181560779127199
